-13.454,-8.0071,-17.89,1,1
-13.439,-8.014,-17.898,1,1
-13.459,-8.0409,-17.892,1,1
-13.436,-7.9563,-17.915,1,1
-13.486,-7.8211,-17.938,1,1
-13.474,-7.5033,-17.976,1,1
-13.973,-6.79,-17.994,1,1
-15.22,-5.2598,-17.648,1,1
-15.316,-1.169,-15.272,1,1
-12.415,5.7073,-12.037,1,1
-5.5084,13.535,-9.9344,1,1
5.6307,21.233,-9.5275,1,1
19.287,28.526,-9.7743,1,1
33.681,34.422,-10.52,1,1
47.642,39.104,-11.44,1,1
58.492,42.226,-12.68,1,1
66.141,44.711,-14.237,1,1
70.307,46.091,-16.806,1,1
71.457,47.748,-18.107,1,1
72.079,49.413,-18.175,1,1
72.551,49.541,-18.193,1,1
73.383,48.577,-18.162,1,1
74.41,47.361,-18.175,1,1
75.043,46.457,-18.155,1,1
-6.2548,-11.256,-17.758,1,2
-6.4258,-11.503,-17.78,1,2
-6.6024,-11.802,-17.793,1,2
-6.7762,-12.1,-17.807,1,2
-6.8732,-12.146,-17.786,1,2
-6.8917,-11.906,-17.888,1,2
-7.0263,-10.969,-17.994,1,2
-7.221,-8.7314,-17.942,1,2
-6.2511,-5.3796,-17.411,1,2
-2.5264,3.1187,-13.639,1,2
6.1087,14.779,-8.8566,1,2
20.1,24.923,-6.9317,1,2
35.963,32.998,-7.1039,1,2
48.891,39.614,-7.5301,1,2
59.609,45.169,-8.9405,1,2
66.867,48.085,-12.335,1,2
70.318,48.987,-16.824,1,2
71.844,50.45,-18.289,1,2
72.98,50.959,-18.105,1,2
74.372,49.424,-18.096,1,2
75.731,47.207,-18.089,1,2
76.586,45.134,-18.094,1,2
77.352,43.361,-18.076,1,2
-14.019,-9.0531,-18.074,1,3
-14.035,-9.0655,-18.073,1,3
-14.025,-9.0696,-18.049,1,3
-14.04,-9.0489,-18.071,1,3
-14.037,-8.9433,-18.084,1,3
-14.046,-8.6516,-18.059,1,3
-14.671,-7.9796,-18.023,1,3
-15.809,-6.0653,-17.389,1,3
-15.532,0.37257,-13.925,1,3
-11.192,10.432,-9.3622,1,3
-0.59176,21.324,-6.6819,1,3
15.676,30.392,-7.4866,1,3
33.728,36.438,-9.6977,1,3
51.272,41.503,-11.115,1,3
64.961,44.881,-12.639,1,3
74.001,46.209,-15.976,1,3
77.606,47.534,-18.501,1,3
78.498,49.327,-18.304,1,3
78.816,49.122,-18.211,1,3
79.015,48.234,-18.182,1,3
80.162,43.951,-18.131,1,3
80.925,41.682,-18.092,1,3
-10.265,-8.33,-17.989,1,4
